from,to,relationship
JL,SET,1
JL,TTP,1
JL,EUA,1
JL,COA,1
JL,USC,1
JL,AMS,1
MT,RCC,1
MT,VLC,1
MT,VOZ,1
MT,LCV,1
MT,SMP,1
MT,VCM,1
MT,AMS,1
ET,TTP,1
ET,ALA,1
ET,EUT,1
ET,LBA,1
ET,AMS,1
HK,VFU,1
HK,OSS,1
HK,BSS,1
HK,AMS,1
IV,ASK,1
IV,RCC,1
IV,BIF,1
IV,CAL,1
IV,RRV,1
IV,CSM,1
IV,AMS,1
JN,GBL,1
JN,BKS,1
JN,KSP,1
JN,SMS,1
JN,AMS,1
SL,KAQ,1
SL,BEY,1
SL,IVC,1
SL,PSU,1
SL,AMS,1
MS,BVM,1
MS,DSC,1
MS,BSB,1
MS,STM,1
MS,DIT,1
MS,GHO,1
MS,CVB,1
MS,AMS,1
HJ,VFS,1
HJ,VCS,1
HJ,AMS,1
HD,AMI,1
HD,BSS,1
HD,AMS,1
KR,UOA,1
KR,BEA,1
KR,LUA,1
KR,AMS,1
LB,FVT,1
LB,BSP,1
LB,VCO,1
LB,AMS,1
RK,OKN,1
RK,LPV,1
RK,LPK,1
RK,HLE,1
RK,KIM,1
RK,SOP,1
RK,AMS,1
LG,JMS,1
LG,BSS,1
LG,AMS,1
JL,NED,2
MT,BUL,2
ET,NED,2
HK,GER,2
IV,BEL,2
JN,POL,2
SL,USA,2
MS,ESP,2
HJ,NED,2
HD,GER,2
KR,USA,2
LB,GER,2
RK,FIN,2
LG,GER,2
